,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007.0,80000.0,45000.0,Petrol
1,Mahindra Jeep CL550,Mahindra,2006.0,425000.0,40.0,Diesel
3,Hyundai Grand i10,Hyundai,2014.0,325000.0,28000.0,Petrol
4,Ford EcoSport Titanium,Ford,2014.0,575000.0,36000.0,Diesel
6,Ford Figo,Ford,2012.0,175000.0,41000.0,Diesel
7,Hyundai Eon,Hyundai,2013.0,190000.0,25000.0,Petrol
8,Ford EcoSport Ambiente,Ford,2016.0,830000.0,24530.0,Diesel
9,Maruti Suzuki Alto,Maruti,2015.0,250000.0,60000.0,Petrol
10,Skoda Fabia Classic,Skoda,2010.0,182000.0,60000.0,Petrol
11,Maruti Suzuki Stingray,Maruti,2015.0,315000.0,30000.0,Petrol
12,Hyundai Elite i20,Hyundai,2014.0,415000.0,32000.0,Petrol
13,Mahindra Scorpio SLE,Mahindra,2015.0,320000.0,48660.0,Diesel
14,Hyundai Santro Xing,Hyundai,2007.0,80000.0,45000.0,Petrol
15,Mahindra Jeep CL550,Mahindra,2006.0,425000.0,40.0,Diesel
17,Audi Q7,other,2014.0,500000.0,16934.0,Diesel
18,Mahindra Scorpio S10,Mahindra,2016.0,350000.0,43000.0,Diesel
19,Maruti Suzuki Alto,Maruti,2014.0,160000.0,35550.0,Petrol
20,Mahindra Scorpio S10,Mahindra,2016.0,350000.0,43000.0,Diesel
21,Mahindra Scorpio S10,Mahindra,2016.0,310000.0,39522.0,Diesel
22,Maruti Suzuki Alto,Maruti,2015.0,75000.0,39000.0,Petrol
23,Hyundai i20 Sportz,Hyundai,2012.0,100000.0,55000.0,Petrol
24,Hyundai i20 Sportz,Hyundai,2012.0,100000.0,55000.0,Petrol
25,Hyundai i20 Sportz,Hyundai,2012.0,100000.0,55000.0,Petrol
26,Maruti Suzuki Alto,Maruti,2017.0,190000.0,72000.0,Petrol
27,Maruti Suzuki Vitara,Maruti,2016.0,290000.0,15975.0,Diesel
28,Maruti Suzuki Alto,Maruti,2008.0,95000.0,70000.0,Petrol
29,Mahindra Bolero DI,Mahindra,2017.0,180000.0,23452.0,Diesel
30,Maruti Suzuki Swift,Maruti,2014.0,385000.0,35522.0,Diesel
31,Mahindra Scorpio S10,Mahindra,2015.0,250000.0,48508.0,Diesel
32,Maruti Suzuki Swift,Maruti,2017.0,180000.0,15487.0,Petrol
33,Maruti Suzuki Wagon,Maruti,2013.0,105000.0,39000.0,Petrol
34,Maruti Suzuki Wagon,Maruti,2013.0,105000.0,39000.0,Petrol
35,Toyota Innova 2.0,Toyota,2012.0,650000.0,82000.0,Diesel
36,Renault Lodgy 85,Renault,2018.0,689999.0,20000.0,Diesel
37,Skoda Yeti Ambition,Skoda,2012.0,448000.0,68000.0,Diesel
38,Maruti Suzuki Baleno,Maruti,2017.0,549000.0,32000.0,Diesel
39,Renault Duster 110,Renault,2012.0,501000.0,38000.0,Diesel
40,Renault Duster 85,Renault,2013.0,489999.0,27000.0,Diesel
41,Honda City 1.5,Honda,2011.0,280000.0,33000.0,Petrol
42,Maruti Suzuki Alto,Maruti,2015.0,250000.0,60000.0,Petrol
43,Maruti Suzuki Dzire,Maruti,2013.0,349999.0,46000.0,Diesel
44,Honda Amaze,Honda,2013.0,284999.0,46000.0,Diesel
45,Honda Amaze 1.5,Honda,2015.0,345000.0,36000.0,Diesel
46,Honda City,Honda,2015.0,499999.0,55000.0,Petrol
47,Datsun Redi GO,other,2017.0,235000.0,16000.0,Petrol
48,Maruti Suzuki SX4,Maruti,2010.0,249999.0,36000.0,Petrol
50,Mahindra Bolero DI,Mahindra,2017.0,180000.0,23452.0,Diesel
51,Maruti Suzuki Swift,Maruti,2014.0,385000.0,35522.0,Diesel
52,Mahindra Scorpio S10,Mahindra,2015.0,250000.0,48508.0,Diesel
53,Maruti Suzuki Swift,Maruti,2017.0,180000.0,15487.0,Petrol
54,Maruti Suzuki Wagon,Maruti,2013.0,105000.0,39000.0,Petrol
55,Maruti Suzuki Wagon,Maruti,2013.0,105000.0,39000.0,Petrol
56,Mahindra Scorpio S10,Mahindra,2015.0,395000.0,35000.0,Diesel
57,Maruti Suzuki Swift,Maruti,2017.0,220000.0,30874.0,Petrol
58,Honda City ZX,Honda,2017.0,170000.0,15000.0,Diesel
59,Maruti Suzuki Wagon,Maruti,2013.0,85000.0,29685.0,Petrol
60,Ford Figo,Ford,2012.0,175000.0,41000.0,Diesel
61,Hyundai Eon,Hyundai,2013.0,190000.0,25000.0,Petrol
63,Ford EcoSport Ambiente,Ford,2016.0,830000.0,24530.0,Diesel
65,Mahindra Scorpio SLE,Mahindra,2012.0,570000.0,19000.0,Diesel
66,Volkswagen Polo Highline,Volkswagen,2014.0,315000.0,60000.0,Petrol
67,Skoda Fabia Classic,Skoda,2010.0,182000.0,60000.0,Petrol
68,Maruti Suzuki Stingray,Maruti,2015.0,315000.0,30000.0,Petrol
70,Chevrolet Spark LS,Chevrolet,2010.0,110000.0,41000.0,Petrol
71,Renault Duster 110PS,Renault,2012.0,501000.0,35000.0,Diesel
72,Honda City,Honda,2015.0,448999.0,54000.0,Petrol
74,Datsun Redi GO,other,2017.0,235000.0,16000.0,Petrol
75,Skoda Fabia 1.2L,Skoda,2011.0,159500.0,38200.0,Diesel
76,Honda Amaze,Honda,2015.0,344999.0,22000.0,Petrol
77,Honda Amaze,Honda,2015.0,344999.0,22000.0,Petrol
78,Renault Duster,Renault,2014.0,449999.0,50000.0,Diesel
80,Mahindra Scorpio S4,Mahindra,2015.0,865000.0,30000.0,Diesel
81,Mahindra Scorpio VLX,Mahindra,2014.0,699000.0,50000.0,Diesel
82,Mahindra Quanto C8,Mahindra,2013.0,375000.0,20000.0,Diesel
83,Ford EcoSport,Ford,2017.0,489999.0,39000.0,Petrol
84,Honda Brio,Honda,2012.0,224999.0,30000.0,Petrol
87,Hyundai i20 Magna,Hyundai,2009.0,195000.0,32000.0,Petrol
88,Toyota Corolla Altis,Toyota,2010.0,351000.0,38000.0,Diesel
89,Hyundai Verna Transform,Hyundai,2008.0,160000.0,45000.0,Petrol
90,Toyota Corolla Altis,Toyota,2009.0,240000.0,35000.0,Petrol
91,Honda City 1.5,Honda,2005.0,90000.0,50000.0,Petrol
92,Hyundai Elite i20,Hyundai,2014.0,415000.0,32000.0,Petrol
93,Skoda Fabia 1.2L,Skoda,2011.0,155000.0,45863.0,Diesel
94,BMW 3 Series,other,2011.0,600000.0,60500.0,Petrol
95,Maruti Suzuki A,Maruti,2011.0,189500.0,12500.0,Petrol
96,Toyota Etios GD,Toyota,2013.0,350000.0,60000.0,Diesel
97,Ford Figo Diesel,Ford,2012.0,210000.0,35000.0,Diesel
98,Maruti Suzuki Swift,Maruti,2014.0,390000.0,35000.0,Petrol
99,Chevrolet Beat LT,Chevrolet,2012.0,135000.0,45000.0,Diesel
101,Mahindra XUV500 W8,Mahindra,2013.0,701000.0,38000.0,Diesel
102,Hyundai i10 Magna,Hyundai,2014.0,265000.0,18000.0,Petrol
103,Hyundai Verna Fluidic,Hyundai,2015.0,525000.0,35000.0,Diesel
104,Maruti Suzuki Swift,Maruti,2013.0,372000.0,13349.0,Petrol
105,Maruti Suzuki Ertiga,Maruti,2016.0,635000.0,29000.0,Petrol
106,Ford EcoSport Titanium,Ford,2014.0,550000.0,44000.0,Diesel
107,Maruti Suzuki Ertiga,Maruti,2016.0,575000.0,29000.0,Petrol
108,Maruti Suzuki Ertiga,Maruti,2013.0,485000.0,42000.0,Diesel
109,Maruti Suzuki Alto,Maruti,2012.0,155000.0,14000.0,Petrol
110,Hyundai Grand i10,Hyundai,2014.0,345000.0,49000.0,Diesel
111,Honda Amaze 1.2,Honda,2014.0,325000.0,42000.0,Petrol
112,Hyundai i20 Asta,Hyundai,2012.0,329500.0,36200.0,Diesel
113,Ford Figo Diesel,Ford,2014.0,195000.0,50000.0,Diesel
114,Maruti Suzuki Eeco,Maruti,2015.0,251111.0,55000.0,Petrol
115,Maruti Suzuki Ertiga,Maruti,2014.0,569999.0,45000.0,Petrol
116,Maruti Suzuki Esteem,Maruti,2007.0,69999.0,51000.0,Petrol
117,Maruti Suzuki Ritz,Maruti,2014.0,299999.0,19000.0,Petrol
118,Maruti Suzuki Dzire,Maruti,2009.0,220000.0,46000.0,Petrol
119,Maruti Suzuki Ritz,Maruti,2013.0,399999.0,33000.0,Diesel
120,Maruti Suzuki Swift,Maruti,2013.0,372000.0,13349.0,Petrol
122,Toyota Etios Liva,Toyota,2014.0,270000.0,55000.0,Petrol
123,Hyundai i20 Sportz,Hyundai,2011.0,350000.0,33333.0,Diesel
124,Chevrolet Spark,Chevrolet,2012.0,158400.0,33600.0,Petrol
125,Maruti Suzuki Alto,Maruti,2017.0,350000.0,5600.0,Petrol
126,Nissan Micra XV,other,2011.0,179000.0,41000.0,Petrol
127,Maruti Suzuki Swift,Maruti,2007.0,125000.0,70000.0,Petrol
128,Maruti Suzuki Alto,Maruti,2018.0,200000.0,7500.0,Petrol
129,Honda Amaze 1.5,Honda,2013.0,299000.0,45000.0,Diesel
130,Maruti Suzuki Alto,Maruti,2015.0,220000.0,38000.0,Petrol
131,Chevrolet Beat,Chevrolet,2015.0,150000.0,30000.0,Petrol
133,Honda City 1.5,Honda,2010.0,285000.0,35000.0,Petrol
134,Ford EcoSport Trend,Ford,2016.0,830000.0,24330.0,Diesel
135,Hyundai i20 Asta,Hyundai,2009.0,210000.0,65480.0,Petrol
136,Maruti Suzuki Swift,Maruti,2013.0,340000.0,41000.0,Petrol
137,Tata Indica V2,Tata,2006.0,90000.0,20000.0,Petrol
140,Toyota Corolla Altis,Toyota,2010.0,289999.0,70000.0,Petrol
141,Toyota Corolla Altis,Toyota,2012.0,349999.0,59000.0,Petrol
142,Toyota Innova 2.5,Toyota,2012.0,849999.0,99000.0,Diesel
143,Volkswagen Jetta Highline,Volkswagen,2014.0,749999.0,46000.0,Diesel
144,Volkswagen Polo Comfortline,Volkswagen,2015.0,399999.0,2800.0,Petrol
145,Volkswagen Polo,Volkswagen,2014.0,274999.0,32000.0,Petrol
147,Renault Duster,Renault,2014.0,449999.0,50000.0,Diesel
148,Honda Amaze,Honda,2015.0,344999.0,22000.0,Petrol
149,Nissan Sunny,other,2012.0,224999.0,45000.0,Petrol
150,Hyundai Elite i20,Hyundai,2018.0,599999.0,21000.0,Petrol
151,Renault Kwid,Renault,2016.0,244999.0,11000.0,Petrol
152,Renault Duster,Renault,2013.0,399999.0,41000.0,Diesel
153,Ford EcoSport,Ford,2017.0,489999.0,39000.0,Petrol
154,Renault Duster,Renault,2014.0,474999.0,50000.0,Diesel
155,Mahindra Scorpio VLX,Mahindra,2011.0,499999.0,66000.0,Diesel
156,Maruti Suzuki Alto,Maruti,2018.0,310000.0,3000.0,Petrol
157,Chevrolet Spark LT,Chevrolet,2010.0,85000.0,45000.0,Petrol
158,Datsun Redi GO,other,2016.0,245000.0,7000.0,Petrol
159,Maruti Suzuki Swift,Maruti,2010.0,189500.0,38500.0,Diesel
160,Fiat Punto Emotion,other,2012.0,169500.0,37200.0,Diesel
161,Maruti Suzuki Swift,Maruti,2010.0,159500.0,43200.0,Diesel
162,Toyota Etios GD,Toyota,2013.0,275000.0,24800.0,Petrol
163,Hyundai i20 Sportz,Hyundai,2014.0,370000.0,60000.0,Diesel
164,Hyundai i10 Sportz,Hyundai,2010.0,168000.0,45872.0,Petrol
165,Chevrolet Beat LT,Chevrolet,2011.0,150000.0,40000.0,Diesel
166,Chevrolet Beat LS,Chevrolet,2011.0,145000.0,45000.0,Diesel
167,Chevrolet Beat LT,Chevrolet,2012.0,98500.0,38000.0,Diesel
168,Mahindra Scorpio VLX,Mahindra,2014.0,699000.0,50000.0,Diesel
169,Tata Indigo CS,Tata,2011.0,85000.0,11400.0,Diesel
170,Toyota Corolla Altis,Toyota,2015.0,575000.0,42000.0,Petrol
171,Honda City 1.5,Honda,2014.0,549000.0,39000.0,Petrol
172,Maruti Suzuki Swift,Maruti,2011.0,209000.0,47000.0,Diesel
173,Hyundai Eon Era,Hyundai,2013.0,185000.0,27000.0,Petrol
174,Mahindra Scorpio S10,Mahindra,2015.0,900000.0,97200.0,Diesel
175,Mahindra XUV500,Mahindra,2014.0,699999.0,52000.0,Diesel
176,Honda Brio,Honda,2012.0,224999.0,30000.0,Petrol
177,Ford Fiesta,Ford,2011.0,274999.0,55000.0,Diesel
178,Honda Amaze,Honda,2013.0,284999.0,46000.0,Diesel
179,Honda City,Honda,2015.0,599999.0,30000.0,Diesel
180,Maruti Suzuki Wagon,Maruti,2012.0,199999.0,44000.0,Petrol
181,Honda City,Honda,2014.0,544999.0,45000.0,Diesel
182,Hyundai i20,Hyundai,2009.0,199000.0,31000.0,Petrol
184,Hyundai Fluidic Verna,Hyundai,2015.0,540000.0,38000.0,Diesel
186,Mahindra Quanto C8,Mahindra,2013.0,340000.0,37000.0,Diesel
187,Fiat Petra ELX,other,2008.0,75000.0,65000.0,Petrol
188,Skoda Fabia 1.2L,Skoda,2011.0,159500.0,38200.0,Diesel
190,Hyundai Santro Xing,Hyundai,2005.0,49000.0,7500.0,Petrol
191,Maruti Suzuki Ciaz,Maruti,2016.0,700000.0,3350.0,Petrol
192,Maruti Suzuki Zen,Maruti,2000.0,55000.0,60000.0,Petrol
193,Honda City,Honda,2015.0,448999.0,54000.0,Petrol
194,Hyundai Creta 1.6,Hyundai,2017.0,895000.0,32000.0,Petrol
196,Mahindra Scorpio SLX,Mahindra,2007.0,355000.0,75000.0,Diesel
197,Mahindra Scorpio SLE,Mahindra,2012.0,565000.0,62000.0,Diesel
198,Toyota Innova 2.5,Toyota,2006.0,365000.0,73000.0,Diesel
199,Maruti Suzuki Alto,Maruti,2011.0,145000.0,41000.0,Petrol
200,Maruti Suzuki Wagon,Maruti,2011.0,210000.0,35000.0,Petrol
201,Tata Nano Cx,Tata,2013.0,40000.0,2200.0,Petrol
202,Maruti Suzuki Alto,Maruti,2013.0,125000.0,39000.0,Petrol
203,Maruti Suzuki Wagon,Maruti,2009.0,135000.0,45000.0,Petrol
204,Maruti Suzuki Swift,Maruti,2006.0,135000.0,45000.0,Petrol
205,Tata Sumo Victa,Tata,2012.0,285000.0,65000.0,Diesel
207,Maruti Suzuki Wagon,Maruti,2010.0,145000.0,54870.0,Petrol
208,Maruti Suzuki Alto,Maruti,2010.0,135000.0,34580.0,Petrol
209,Volkswagen Passat Diesel,Volkswagen,2009.0,450000.0,97000.0,Diesel
210,Renault Scala RxL,Renault,2015.0,375000.0,25000.0,Diesel
211,Mahindra Quanto C8,Mahindra,2013.0,375000.0,20000.0,Diesel
212,Hyundai Grand i10,Hyundai,2014.0,365000.0,20000.0,Petrol
213,Hyundai i20 Active,Hyundai,2015.0,500000.0,18000.0,Petrol
214,Mahindra Xylo E4,Mahindra,2012.0,400000.0,35000.0,Diesel
215,Mahindra Jeep MM,Mahindra,2019.0,390000.0,60.0,Diesel
216,Renault Duster 110PS,Renault,2012.0,501000.0,35000.0,Diesel
217,Mahindra Bolero SLE,Mahindra,2013.0,330000.0,80200.0,Diesel
218,Force Motors Force,other,2015.0,580000.0,3200.0,Diesel
219,Maruti Suzuki SX4,Maruti,2012.0,265000.0,46000.0,Diesel
220,Mahindra Jeep CL550,Mahindra,2019.0,379000.0,0.0,Diesel
221,Maruti Suzuki Alto,Maruti,2015.0,219000.0,5000.0,Petrol
222,Mahindra Jeep CL550,Mahindra,2018.0,385000.0,588.0,Diesel
223,Toyota Etios,Toyota,2011.0,275000.0,36000.0,Diesel
224,Volkswagen Polo,Volkswagen,2015.0,330000.0,38000.0,Diesel
225,Honda City ZX,Honda,2008.0,110000.0,45000.0,Petrol
226,Maruti Suzuki Wagon,Maruti,2006.0,80000.0,71200.0,Petrol
227,Honda City VX,Honda,2016.0,519000.0,52000.0,Diesel
228,Mahindra Thar CRDe,Mahindra,2016.0,730000.0,29000.0,Diesel
230,Audi A4 1.8,other,2009.0,699000.0,47000.0,Petrol
233,Renault Kwid RXT,Renault,2017.0,340000.0,5000.0,Petrol
234,Tata Aria Pleasure,Tata,2014.0,390000.0,35000.0,Diesel
236,Datsun GO T,other,2016.0,245000.0,7000.0,Petrol
239,Honda Jazz VX,Honda,2016.0,450000.0,41000.0,Petrol
240,Honda Amaze 1.2,Honda,2014.0,311000.0,33000.0,Petrol
241,Honda Amaze,Honda,2013.0,284999.0,46000.0,Diesel
242,Honda City,Honda,2012.0,399999.0,45000.0,Petrol
243,Honda City,Honda,2015.0,599999.0,39000.0,Diesel
244,Honda Amaze,Honda,2015.0,344999.0,22000.0,Petrol
245,Audi A4 1.8,other,2009.0,699000.0,47000.0,Petrol
246,Force Motors Force,other,2015.0,580000.0,3200.0,Diesel
247,Mahindra Scorpio S4,Mahindra,2015.0,855000.0,30000.0,Diesel
248,Hyundai i20 Active,Hyundai,2015.0,535000.0,37000.0,Diesel
250,Maruti Suzuki Ciaz,Maruti,2017.0,699000.0,14000.0,Petrol
251,Chevrolet Tavera Neo,Chevrolet,2013.0,375000.0,55000.0,Diesel
252,Honda Amaze,Honda,2013.0,284999.0,46000.0,Diesel
253,Hyundai Eon Sportz,Hyundai,2012.0,178000.0,30000.0,Petrol
254,Tata Sumo Gold,Tata,2013.0,300000.0,50000.0,Diesel
255,Maruti Suzuki Wagon,Maruti,2003.0,90000.0,45000.0,Petrol
256,Maruti Suzuki Esteem,Maruti,2006.0,95000.0,45000.0,Petrol
257,Maruti Suzuki Eeco,Maruti,2015.0,255000.0,9300.0,Petrol
258,Chevrolet Enjoy 1.4,Chevrolet,2013.0,245000.0,55000.0,Diesel
259,Hyundai i20 Asta,Hyundai,2012.0,329500.0,36200.0,Diesel
260,Ford Figo Diesel,Ford,2014.0,195000.0,50000.0,Diesel
261,Maruti Suzuki Eeco,Maruti,2015.0,251111.0,55000.0,Petrol
262,Maruti Suzuki Ertiga,Maruti,2014.0,569999.0,45000.0,Petrol
263,Maruti Suzuki Esteem,Maruti,2007.0,69999.0,51000.0,Petrol
264,Maruti Suzuki Ritz,Maruti,2014.0,299999.0,19000.0,Petrol
265,Maruti Suzuki Dzire,Maruti,2009.0,220000.0,46000.0,Petrol
266,Maruti Suzuki Ritz,Maruti,2013.0,399999.0,33000.0,Diesel
267,Maruti Suzuki SX4,Maruti,2010.0,249999.0,36000.0,Petrol
268,Maruti Suzuki Wagon,Maruti,2015.0,289999.0,22000.0,Petrol
270,Nissan Terrano XL,other,2015.0,499999.0,60000.0,Diesel
271,Renault Duster 85,Renault,2013.0,489999.0,27000.0,Diesel
